WWR,Tvis,N_aletas,angulo,largura,direcao,UDI
0.1,0.1,1,0,0.1,0,16.5
0.1,295,1,0,0.1,0,39.9
0.1,0.49,1,0,0.1,0,52.4
0.1,685,1,0,0.1,0,63.1
0.1,0.88,1,0,0.1,0,69.8
0.1,0.1,1,22.25,0.1,0,16.1
0.1,295,1,22.25,0.1,0,39.8
0.1,0.49,1,22.25,0.1,0,52.1
0.1,685,1,22.25,0.1,0,60.9
0.1,0.88,1,22.25,0.1,0,69.9
0.1,0.1,1,44.5,0.1,0,16.2
0.1,295,1,44.5,0.1,0,40
0.1,0.49,1,44.5,0.1,0,52.4
0.1,685,1,44.5,0.1,0,62.4
0.1,0.88,1,44.5,0.1,0,70
0.1,0.1,1,66.75,0.1,0,16.3
0.1,295,1,66.75,0.1,0,40.1
0.1,0.49,1,66.75,0.1,0,52.4
0.1,685,1,66.75,0.1,0,61.5
0.1,0.88,1,66.75,0.1,0,70.1
0.1,0.1,1,89,0.1,0,16
0.1,295,1,89,0.1,0,40.2
0.1,0.49,1,89,0.1,0,52.3
0.1,685,1,89,0.1,0,62.3
0.1,0.88,1,89,0.1,0,70.1
0.1,0.1,1,0,0.1,22.5,15.9
0.1,295,1,0,0.1,22.5,39.5
0.1,0.49,1,0,0.1,22.5,52.6
0.1,685,1,0,0.1,22.5,62
0.1,0.88,1,0,0.1,22.5,69.5
0.1,0.1,1,22.25,0.1,22.5,16
0.1,295,1,22.25,0.1,22.5,40.1
0.1,0.49,1,22.25,0.1,22.5,52.5
0.1,685,1,22.25,0.1,22.5,61.2
0.1,0.88,1,22.25,0.1,22.5,69.8
0.1,0.1,1,44.5,0.1,22.5,15.9
0.1,295,1,44.5,0.1,22.5,40
0.1,0.49,1,44.5,0.1,22.5,52.8
0.1,685,1,44.5,0.1,22.5,61.8
0.1,0.88,1,44.5,0.1,22.5,69.8
0.1,0.1,1,66.75,0.1,22.5,16.1
0.1,295,1,66.75,0.1,22.5,39.7
0.1,0.49,1,66.75,0.1,22.5,52.9
0.1,685,1,66.75,0.1,22.5,61.3
0.1,0.88,1,66.75,0.1,22.5,70.3
0.1,0.1,1,89,0.1,22.5,16
0.1,295,1,89,0.1,22.5,39.5
0.1,0.49,1,89,0.1,22.5,52.2
0.1,685,1,89,0.1,22.5,61.1
0.1,0.88,1,89,0.1,22.5,69.1
0.1,0.1,1,0,0.1,45,16.4
0.1,295,1,0,0.1,45,39.6
0.1,0.49,1,0,0.1,45,52.3
0.1,685,1,0,0.1,45,61.7
0.1,0.88,1,0,0.1,45,70.7
0.1,0.1,1,22.25,0.1,45,16.4
0.1,295,1,22.25,0.1,45,39.4
0.1,0.49,1,22.25,0.1,45,53.2
0.1,685,1,22.25,0.1,45,61.7
0.1,0.88,1,22.25,0.1,45,69.6
0.1,0.1,1,44.5,0.1,45,16.3
0.1,295,1,44.5,0.1,45,40.2
0.1,0.49,1,44.5,0.1,45,52.3
0.1,685,1,44.5,0.1,45,61.5
0.1,0.88,1,44.5,0.1,45,69.8
0.1,0.1,1,66.75,0.1,45,15.6
0.1,295,1,66.75,0.1,45,39.5
0.1,0.49,1,66.75,0.1,45,51.9
0.1,685,1,66.75,0.1,45,61.7
0.1,0.88,1,66.75,0.1,45,68.6
0.1,0.1,1,89,0.1,45,15.9
0.1,295,1,89,0.1,45,39.9
0.1,0.49,1,89,0.1,45,52
0.1,685,1,89,0.1,45,60.2
0.1,0.88,1,89,0.1,45,68.9
0.1,0.1,1,0,0.1,67.5,16
0.1,295,1,0,0.1,67.5,39.7
0.1,0.49,1,0,0.1,67.5,52
0.1,685,1,0,0.1,67.5,61.3
0.1,0.88,1,0,0.1,67.5,68.9
0.1,0.1,1,22.25,0.1,67.5,16.2
0.1,295,1,22.25,0.1,67.5,40
0.1,0.49,1,22.25,0.1,67.5,52.7
0.1,685,1,22.25,0.1,67.5,61.9
0.1,0.88,1,22.25,0.1,67.5,69.4
0.1,0.1,1,44.5,0.1,67.5,15.6
0.1,295,1,44.5,0.1,67.5,39.8
0.1,0.49,1,44.5,0.1,67.5,52.6
0.1,685,1,44.5,0.1,67.5,61.8
0.1,0.88,1,44.5,0.1,67.5,69.5
0.1,0.1,1,66.75,0.1,67.5,16.3
0.1,295,1,66.75,0.1,67.5,40
0.1,0.49,1,66.75,0.1,67.5,52
0.1,685,1,66.75,0.1,67.5,61
0.1,0.88,1,66.75,0.1,67.5,69.6
0.1,0.1,1,89,0.1,67.5,15.6
0.1,295,1,89,0.1,67.5,39.5
0.1,0.49,1,89,0.1,67.5,52.3
0.1,685,1,89,0.1,67.5,60.7
0.1,0.88,1,89,0.1,67.5,69.1
0.1,0.1,1,0,0.1,90,16.3
0.1,295,1,0,0.1,90,39.4
0.1,0.49,1,0,0.1,90,52.6
0.1,685,1,0,0.1,90,61.1
0.1,0.88,1,0,0.1,90,69.6
0.1,0.1,1,22.25,0.1,90,16.2
0.1,295,1,22.25,0.1,90,39.4
0.1,0.49,1,22.25,0.1,90,52.6
0.1,685,1,22.25,0.1,90,61.9
0.1,0.88,1,22.25,0.1,90,70.1
0.1,0.1,1,44.5,0.1,90,15.9
0.1,295,1,44.5,0.1,90,39.4
0.1,0.49,1,44.5,0.1,90,51.6
0.1,685,1,44.5,0.1,90,62.7
0.1,0.88,1,44.5,0.1,90,69.1
0.1,0.1,1,66.75,0.1,90,15.8
0.1,295,1,66.75,0.1,90,40
0.1,0.49,1,66.75,0.1,90,51.8
0.1,685,1,66.75,0.1,90,61.6
0.1,0.88,1,66.75,0.1,90,69.6
0.1,0.1,1,89,0.1,90,16
0.1,295,1,89,0.1,90,39.2
0.1,0.49,1,89,0.1,90,52
0.1,685,1,89,0.1,90,61.7
0.1,0.88,1,89,0.1,90,70.5
0.1,0.1,1,0,0.1,112.5,16.2
0.1,295,1,0,0.1,112.5,39.5
0.1,0.49,1,0,0.1,112.5,52.3
0.1,685,1,0,0.1,112.5,61.1
0.1,0.88,1,0,0.1,112.5,69.4
0.1,0.1,1,22.25,0.1,112.5,16
0.1,295,1,22.25,0.1,112.5,39.3
0.1,0.49,1,22.25,0.1,112.5,52.3
0.1,685,1,22.25,0.1,112.5,61.3
0.1,0.88,1,22.25,0.1,112.5,70
0.1,0.1,1,44.5,0.1,112.5,15.6
0.1,295,1,44.5,0.1,112.5,39.2
0.1,0.49,1,44.5,0.1,112.5,52.3
0.1,685,1,44.5,0.1,112.5,60.3
0.1,0.88,1,44.5,0.1,112.5,68.8
0.1,0.1,1,66.75,0.1,112.5,16
0.1,295,1,66.75,0.1,112.5,39.8
0.1,0.49,1,66.75,0.1,112.5,52.2
0.1,685,1,66.75,0.1,112.5,61.3
0.1,0.88,1,66.75,0.1,112.5,69.9
0.1,0.1,1,89,0.1,112.5,15.8
0.1,295,1,89,0.1,112.5,39
0.1,0.49,1,89,0.1,112.5,52.3
0.1,685,1,89,0.1,112.5,61
0.1,0.88,1,89,0.1,112.5,69.6
